2025-04-18 12:05:57,160 cpu usage:4.6, memory usage:34.1, disk usage:84.8, battery percent:100.0, uptime :2 hours, 49 minutes and 8.73 seconds
2025-04-18 12:17:53,508 cpu usage:6.7, memory usage:32.1, disk usage:84.7, battery percent:100.0, uptime :3 hours, 1 minute and 5.08 seconds
2025-04-18 12:18:13,510 cpu usage:4.4, memory usage:31.8, disk usage:84.7, battery percent:100.0, uptime :3 hours, 1 minute and 25.08 seconds
2025-04-18 12:18:33,512 cpu usage:5.9, memory usage:33.0, disk usage:84.7, battery percent:100.0, uptime :3 hours, 1 minute and 45.08 seconds
2025-04-18 12:18:53,513 cpu usage:9.1, memory usage:34.5, disk usage:84.7, battery percent:100.0, uptime :3 hours, 2 minutes and 5.08 seconds
2025-04-18 12:19:13,516 cpu usage:4.9, memory usage:34.2, disk usage:84.7, battery percent:100.0, uptime :3 hours, 2 minutes and 25.08 seconds
2025-04-18 12:19:33,518 cpu usage:5.7, memory usage:34.3, disk usage:84.7, battery percent:100.0, uptime :3 hours, 2 minutes and 45.09 seconds
2025-04-18 12:19:53,519 cpu usage:6.1, memory usage:34.6, disk usage:84.7, battery percent:100.0, uptime :3 hours, 3 minutes and 5.09 seconds
2025-04-18 12:20:13,520 cpu usage:5.8, memory usage:34.7, disk usage:84.7, battery percent:100.0, uptime :3 hours, 3 minutes and 25.09 seconds
2025-04-18 12:20:33,521 cpu usage:8.2, memory usage:35.6, disk usage:84.7, battery percent:100.0, uptime :3 hours, 3 minutes and 45.09 seconds
2025-04-18 12:20:53,522 cpu usage:5.9, memory usage:35.1, disk usage:84.7, battery percent:100.0, uptime :3 hours, 4 minutes and 5.09 seconds
2025-04-18 12:21:13,523 cpu usage:3.0, memory usage:35.2, disk usage:84.7, battery percent:100.0, uptime :3 hours, 4 minutes and 25.09 seconds
2025-04-18 12:21:33,525 cpu usage:2.3, memory usage:34.9, disk usage:84.7, battery percent:100.0, uptime :3 hours, 4 minutes and 45.09 seconds
2025-04-18 12:21:53,527 cpu usage:4.1, memory usage:35.3, disk usage:84.7, battery percent:100.0, uptime :3 hours, 5 minutes and 5.1 seconds
2025-04-18 12:22:13,528 cpu usage:2.9, memory usage:35.1, disk usage:84.7, battery percent:100.0, uptime :3 hours, 5 minutes and 25.1 seconds
2025-04-18 12:22:33,530 cpu usage:3.2, memory usage:35.3, disk usage:84.7, battery percent:100.0, uptime :3 hours, 5 minutes and 45.1 seconds
2025-04-18 12:22:53,531 cpu usage:3.4, memory usage:34.1, disk usage:84.7, battery percent:100.0, uptime :3 hours, 6 minutes and 5.1 seconds
2025-04-18 12:23:13,532 cpu usage:8.2, memory usage:37.0, disk usage:84.7, battery percent:100.0, uptime :3 hours, 6 minutes and 25.1 seconds
2025-04-18 12:23:33,533 cpu usage:6.1, memory usage:36.5, disk usage:84.7, battery percent:100.0, uptime :3 hours, 6 minutes and 45.1 seconds
2025-04-18 12:23:53,535 cpu usage:5.5, memory usage:37.4, disk usage:84.7, battery percent:100.0, uptime :3 hours, 7 minutes and 5.1 seconds
2025-04-18 12:24:13,536 cpu usage:4.8, memory usage:36.4, disk usage:84.7, battery percent:100.0, uptime :3 hours, 7 minutes and 25.1 seconds
2025-04-18 12:24:33,537 cpu usage:6.5, memory usage:37.9, disk usage:84.7, battery percent:100.0, uptime :3 hours, 7 minutes and 45.11 seconds
2025-04-18 12:24:53,539 cpu usage:8.4, memory usage:37.7, disk usage:84.7, battery percent:100.0, uptime :3 hours, 8 minutes and 5.11 seconds
2025-04-18 12:30:11,408 cpu usage:9.9, memory usage:37.0, disk usage:84.7, battery percent:100.0, uptime :3 hours, 13 minutes and 22.98 seconds
2025-04-18 12:31:13,706 cpu usage:8.8, memory usage:37.3, disk usage:84.7, battery percent:100.0, uptime :3 hours, 14 minutes and 25.27 seconds
2025-04-18 12:32:48,302 cpu usage:10.4, memory usage:37.5, disk usage:84.7, battery percent:100.0, uptime :3 hours, 15 minutes and 59.87 seconds
2025-04-18 12:33:00,324 cpu usage:8.7, memory usage:37.7, disk usage:84.7, battery percent:100.0, uptime :3 hours, 16 minutes and 11.89 seconds
